Bird ID,Song duration (sec),Total no. notes /song,Tempo,Before/After experiment,Experimental group (Control/High-nutrition)
BF0022,5.948,47,7.901815736,A,h
BF0022,5.117,40,7.817080321,A,h
BF0022,5.035,38,7.547169811,A,h
BF0022,5.071,41,8.085190298,A,h
BF0022,2.017,17,8.428358949,A,h
BF0022,1.03,9,8.737864078,A,h
BF0022,5.478,41,7.484483388,A,h
BF0022,2.272,20,8.802816901,A,h
BF0022,5.355,39,7.282913165,A,h
BF0022,1.809,15,8.291873964,A,h
BF0022,2.703,24,8.879023307,A,h
BF0022,5.036,37,7.347100874,A,h
BF0022,4.845,39,8.049535604,A,h
BF0022,2.876,22,7.649513213,A,h
BF0022,2.157,16,7.417709782,A,h
BF0022,1.791,13,7.258514796,A,h
BF0022,0.967,9,9.307135471,A,h
BF0022,10.127,73,7.208452651,A,h
BF0022,1.524,11,7.217847769,A,h
BF0022,7.363,52,7.062338721,A,h
BF0025,13.25,108,8.150943396,A,h
BF0025,11.055,90,8.141112619,A,h
BF0025,5.416,46,8.493353028,A,h
BF0025,14.028,115,8.197889934,A,h
BF0025,11.311,93,8.222084696,A,h
BF0025,12.007,93,7.745481802,A,h
BF0025,12.78,98,7.668231612,A,h
BF0025,14.864,123,8.275026911,A,h
BF0025,21.58,177,8.202038925,A,h
BF0025,15.021,126,8.388256441,A,h
BF0025,14.847,127,8.553916616,A,h
BF0025,16.524,131,7.927862503,A,h
BF0025,15.578,128,8.216715881,A,h
BF0025,11.555,98,8.48117698,A,h
BF0025,10.754,90,8.368978985,A,h
BF0025,4.821,44,9.126737191,A,h
BF0025,3.97,35,8.816120907,A,h
BF0025,7.12,60,8.426966292,A,h
BF0025,2.215,21,9.480812641,A,h
BF0025,8.112,64,7.889546351,A,h
BF0020,10.608,78,7.352941176,A,h
BF0020,27.257,208,7.631067249,A,h
BF0020,8.583,66,7.689619014,A,h
BF0020,3.451,26,7.534048102,A,h
BF0020,5.164,41,7.93958172,A,h
